"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","240053001","1","0.4","ppm","5","Essex","19","79.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/02/2020","AQS","240053001","1","1.3","ppm","15","Essex","24","100.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/03/2020","AQS","240053001","1","0.6","ppm","7","Essex","24","100.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/04/2020","AQS","240053001","1","0.5","ppm","6","Essex","24","100.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/05/2020","AQS","240053001","1","0.4","ppm","5","Essex","24","100.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/06/2020","AQS","240053001","1","0.4","ppm","5","Essex","24","100.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/07/2020","AQS","240053001","1","0.9","ppm","10","Essex","24","100.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/08/2020","AQS","240053001","1","0.3","ppm","3","Essex","24","100.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/09/2020","AQS","240053001","1","0.3","ppm","3","Essex","24","100.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/10/2020","AQS","240053001","1","0.4","ppm","5","Essex","24","100.0000","42101","Carbon monoxide","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
