"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2020","AQS","230050029","1","35.1","ppb","33","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/04/2020","AQS","230050029","1","29.8","ppb","27","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/05/2020","AQS","230050029","1","9.7","ppb","8","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/06/2020","AQS","230050029","1","28.5","ppb","26","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/07/2020","AQS","230050029","1","33.9","ppb","31","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/08/2020","AQS","230050029","1","11.4","ppb","10","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/09/2020","AQS","230050029","1","35.6","ppb","33","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/10/2020","AQS","230050029","1","32.2","ppb","30","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/11/2020","AQS","230050029","1","26.9","ppb","25","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/12/2020","AQS","230050029","1","10.2","ppb","9","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/13/2020","AQS","230050029","1","11.2","ppb","10","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/14/2020","AQS","230050029","1","18.5","ppb","17","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/15/2020","AQS","230050029","1","27.4","ppb","25","PDO - Portland Deering Oaks","20","83.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/16/2020","AQS","230050029","1","25.6","ppb","24","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/17/2020","AQS","230050029","1","17.6","ppb","16","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
