"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","100010002","1","0.035","ppm","32","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/02/2020","AQS","100010002","1","0.032","ppm","30","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/03/2020","AQS","100010002","1","0.029","ppm","27","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/04/2020","AQS","100010002","1","0.026","ppm","24","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/05/2020","AQS","100010002","1","0.031","ppm","29","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/06/2020","AQS","100010002","1","0.031","ppm","29","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/07/2020","AQS","100010002","1","0.034","ppm","31","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/08/2020","AQS","100010002","1","0.035","ppm","32","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/09/2020","AQS","100010002","1","0.03","ppm","28","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/10/2020","AQS","100010002","1","0.035","ppm","32","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","17","100.0000","44201","Ozone","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
