"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","250010002","1","0.031","ppm","29","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/02/2020","AQS","250010002","1","0.037","ppm","34","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/03/2020","AQS","250010002","1","0.027","ppm","25","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/04/2020","AQS","250010002","1","0.028","ppm","26","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/05/2020","AQS","250010002","1","0.038","ppm","35","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/06/2020","AQS","250010002","1","0.036","ppm","33","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/07/2020","AQS","250010002","1","0.038","ppm","35","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/08/2020","AQS","250010002","1","0.035","ppm","32","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/09/2020","AQS","250010002","1","0.034","ppm","31","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/10/2020","AQS","250010002","1","0.039","ppm","36","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/11/2020","AQS","250010002","1","0.04","ppm","37","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/12/2020","AQS","250010002","1","0.034","ppm","31","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/13/2020","AQS","250010002","1","0.029","ppm","27","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/14/2020","AQS","250010002","1","0.027","ppm","25","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/15/2020","AQS","250010002","1","0.027","ppm","25","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/16/2020","AQS","250010002","1","0.033","ppm","31","TRURO NATIONAL SEASHORE","15","88.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/17/2020","AQS","250010002","1","0.042","ppm","39","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/18/2020","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/19/2020","AQS","250010002","1","0.034","ppm","31","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/20/2020","AQS","250010002","1","0.04","ppm","37","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/21/2020","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
