"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/14/2020","AirNow","240031003","2","0.037","ppm","34","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/15/2020","AirNow","240031003","2","0.038","ppm","35","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/16/2020","AirNow","240031003","2","0.033","ppm","31","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/17/2020","AirNow","240031003","2","0.037","ppm","34","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/18/2020","AirNow","240031003","2","0.041","ppm","38","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/19/2020","AirNow","240031003","2","0.038","ppm","35","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/20/2020","AirNow","240031003","2","0.037","ppm","34","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/21/2020","AirNow","240031003","2","0.039","ppm","36","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/22/2020","AirNow","240031003","2","0.044","ppm","41","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/23/2020","AirNow","240031003","2","0.047","ppm","44","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/24/2020","AirNow","240031003","2","0.037","ppm","34","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/25/2020","AirNow","240031003","2","0.028","ppm","26","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/26/2020","AirNow","240031003","2","0.037","ppm","34","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/27/2020","AirNow","240031003","2","0.04","ppm","37","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/28/2020","AirNow","240031003","2","0.04","ppm","37","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"02/29/2020","AirNow","240031003","2","0.041","ppm","38","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/01/2020","AQS","240031003","2","0.045","ppm","42","GLEN BURNIE","17","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/02/2020","AQS","240031003","2","0.053","ppm","49","GLEN BURNIE","17","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/03/2020","AQS","240031003","2","0.041","ppm","38","GLEN BURNIE","17","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/04/2020","AQS","240031003","2","0.046","ppm","43","GLEN BURNIE","17","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/05/2020","AirNow","240031003","2","0.035","ppm","32","GLEN BURNIE","18","75.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/06/2020","AQS","240031003","2","0.034","ppm","31","GLEN BURNIE","17","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/07/2020","AQS","240031003","2","0.044","ppm","41","GLEN BURNIE","14","82.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/08/2020","AirNow","240031003","2","0.046","ppm","43","GLEN BURNIE","24","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/11/2020","AQS","240031003","2","0.034","ppm","31","GLEN BURNIE","17","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
"03/12/2020","AQS","240031003","2","0.043","ppm","40","GLEN BURNIE","17","100.0000","44201","Ozone","12580","Baltimore-Columbia-Towson, MD","24","Maryland","003","Anne Arundel","39.169533","-76.627933"
