"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/06/2020","AirNow","330012004","1","0.032","ppm","30","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/07/2020","AirNow","330012004","1","0.034","ppm","31","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/08/2020","AirNow","330012004","1","0.041","ppm","38","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/09/2020","AirNow","330012004","1","0.038","ppm","35","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/10/2020","AirNow","330012004","1","0.031","ppm","29","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/11/2020","AirNow","330012004","1","0.035","ppm","32","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/12/2020","AirNow","330012004","1","0.04","ppm","37","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/13/2020","AirNow","330012004","1","0.034","ppm","31","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/14/2020","AirNow","330012004","1","0.039","ppm","36","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/15/2020","AirNow","330012004","1","0.039","ppm","36","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/16/2020","AirNow","330012004","1","0.037","ppm","34","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/17/2020","AirNow","330012004","1","0.042","ppm","39","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/18/2020","AirNow","330012004","1","0.037","ppm","34","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/19/2020","AirNow","330012004","1","0.042","ppm","39","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/20/2020","AirNow","330012004","1","0.04","ppm","37","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/21/2020","AirNow","330012004","1","0.043","ppm","40","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/22/2020","AirNow","330012004","1","0.045","ppm","42","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/23/2020","AirNow","330012004","1","0.049","ppm","45","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/24/2020","AirNow","330012004","1","0.052","ppm","48","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/25/2020","AirNow","330012004","1","0.051","ppm","47","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/26/2020","AirNow","330012004","1","0.048","ppm","44","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/27/2020","AirNow","330012004","1","0.047","ppm","44","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"02/29/2020","AirNow","330012004","1","0.039","ppm","36","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"03/01/2020","AirNow","330012004","1","0.039","ppm","36","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"03/02/2020","AirNow","330012004","1","0.037","ppm","34","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"03/03/2020","AirNow","330012004","1","0.048","ppm","44","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"03/04/2020","AirNow","330012004","1","0.043","ppm","40","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"03/05/2020","AirNow","330012004","1","0.042","ppm","39","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"03/06/2020","AirNow","330012004","1","0.043","ppm","40","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
"03/07/2020","AirNow","330012004","1","0.044","ppm","41","FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON","24","100.0000","44201","Ozone","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661220009421","-71.496335"
