"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","230050015","2","21","ug/m3 SC","19","TB - Tukey's Bridge","1","100.0000","81102","PM10 Total 0-10um STP","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.677994","-70.256178"
"01/10/2020","AQS","230050015","2","47","ug/m3 SC","44","TB - Tukey's Bridge","1","100.0000","81102","PM10 Total 0-10um STP","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.677994","-70.256178"
"01/16/2020","AQS","230050015","2","8","ug/m3 SC","7","TB - Tukey's Bridge","1","100.0000","81102","PM10 Total 0-10um STP","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.677994","-70.256178"
"01/28/2020","AQS","230050015","2","30","ug/m3 SC","28","TB - Tukey's Bridge","1","100.0000","81102","PM10 Total 0-10um STP","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.677994","-70.256178"
"01/04/2020","AQS","230050015","3","55","ug/m3 SC","51","TB - Tukey's Bridge","1","100.0000","81102","PM10 Total 0-10um STP","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.677994","-70.256178"
"01/16/2020","AQS","230050015","3","7","ug/m3 SC","6","TB - Tukey's Bridge","1","100.0000","81102","PM10 Total 0-10um STP","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.677994","-70.256178"
"01/28/2020","AQS","230050015","3","37","ug/m3 SC","34","TB - Tukey's Bridge","1","100.0000","81102","PM10 Total 0-10um STP","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.677994","-70.256178"
"01/01/2020","AQS","230090103","2","2","ug/m3 SC","2","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/04/2020","AQS","230090103","2","4","ug/m3 SC","4","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/07/2020","AQS","230090103","2","3","ug/m3 SC","3","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/10/2020","AQS","230090103","2","7","ug/m3 SC","6","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/13/2020","AQS","230090103","2","3","ug/m3 SC","3","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/19/2020","AQS","230090103","2","6","ug/m3 SC","6","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/22/2020","AQS","230090103","2","3","ug/m3 SC","3","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/25/2020","AQS","230090103","2","8","ug/m3 SC","7","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/28/2020","AQS","230090103","2","1","ug/m3 SC","1","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/31/2020","AQS","230090103","2","7","ug/m3 SC","6","MCFARLAND HILL Air Pollutant Research Site","1","100.0000","81102","PM10 Total 0-10um STP","","","23","Maine","009","Hancock","44.377050000943","-68.2609"
"01/04/2020","AQS","230190017","1","20","ug/m3 SC","19","Mary Snow School","1","100.0000","81102","PM10 Total 0-10um STP","12620","Bangor, ME","23","Maine","019","Penobscot","44.8173980009432","-68.772762"
"01/10/2020","AQS","230190017","1","17","ug/m3 SC","16","Mary Snow School","1","100.0000","81102","PM10 Total 0-10um STP","12620","Bangor, ME","23","Maine","019","Penobscot","44.8173980009432","-68.772762"
"01/16/2020","AQS","230190017","1","4","ug/m3 SC","4","Mary Snow School","1","100.0000","81102","PM10 Total 0-10um STP","12620","Bangor, ME","23","Maine","019","Penobscot","44.8173980009432","-68.772762"
"01/22/2020","AQS","230190017","1","17","ug/m3 SC","16","Mary Snow School","1","100.0000","81102","PM10 Total 0-10um STP","12620","Bangor, ME","23","Maine","019","Penobscot","44.8173980009432","-68.772762"
"01/28/2020","AQS","230190017","1","12","ug/m3 SC","11","Mary Snow School","1","100.0000","81102","PM10 Total 0-10um STP","12620","Bangor, ME","23","Maine","019","Penobscot","44.8173980009432","-68.772762"
