,State,County,PM2.5,Date,total_confirmed_cases,Deaths,Recovered,Active
0,Connecticut,Fairfield,4.75,Mar 23,270,6,0,0
1,Connecticut,Fairfield,3.35,Mar 24,384,7,0,0
2,Connecticut,Fairfield,6.8,Mar 25,546,12,0,0
3,Connecticut,Fairfield,7.3,Mar 26,607,13,0,0
4,Connecticut,Fairfield,6.3,Mar 27,752,15,0,0
5,Connecticut,Fairfield,6.0,Mar 28,908,20,0,0
6,Connecticut,Fairfield,3.05,Mar 29,1245,21,0,0
7,Connecticut,Fairfield,3.9,Mar 30,1445,21,0,0
8,Connecticut,Fairfield,3.7,Mar 31,1870,38,0,0
9,Connecticut,Fairfield,5.35,Apr 1,1986,46,0,0
10,Connecticut,Fairfield,2.6,Apr 2,2132,65,0,0
11,Connecticut,Fairfield,0.8,Apr 3,2716,75,0,0
12,Connecticut,Fairfield,2.55,Apr 4,2824,86,0,0
13,Connecticut,Fairfield,9.7,Apr 5,3050,96,0,0
14,Connecticut,Fairfield,5.15,Apr 6,3719,101,0,0
15,Connecticut,Fairfield,5.35,Apr 7,4136,132,0,0
16,Connecticut,Fairfield,7.1,Apr 8,4136,132,0,0
17,Connecticut,Fairfield,6.7,Apr 9,4882,178,0,0
18,Connecticut,Hartford,4.6,Mar 23,61,2,0,0
19,Connecticut,Hartford,2.2,Mar 24,88,2,0,0
20,Connecticut,Hartford,5.95,Mar 25,116,2,0,0
21,Connecticut,Hartford,7.05,Mar 26,138,2,0,0
22,Connecticut,Hartford,6.3,Mar 27,189,2,0,0
23,Connecticut,Hartford,7.6,Mar 28,228,2,0,0
24,Connecticut,Hartford,3.15,Mar 29,276,2,0,0
25,Connecticut,Hartford,2.4,Mar 30,330,3,0,0
26,Connecticut,Hartford,4.5,Mar 31,393,7,0,0
27,Connecticut,Hartford,5.55,Apr 1,469,11,0,0
28,Connecticut,Hartford,2.3,Apr 2,539,13,0,0
29,Connecticut,Hartford,0.65,Apr 3,679,18,0,0
30,Connecticut,Hartford,3.05,Apr 4,726,26,0,0
31,Connecticut,Hartford,8.25,Apr 5,751,29,0,0
32,Connecticut,Hartford,5.35,Apr 6,882,31,0,0
33,Connecticut,Hartford,4.5,Apr 7,1045,48,0,0
34,Connecticut,Hartford,5.6,Apr 8,1045,48,0,0
35,Connecticut,Hartford,7.15,Apr 9,1471,75,0,0
36,Connecticut,Litchfield,3.0,Mar 23,13,0,0,0
37,Connecticut,Litchfield,2.9,Mar 24,22,0,0,0
38,Connecticut,Litchfield,6.0,Mar 25,33,0,0,0
39,Connecticut,Litchfield,5.7,Mar 26,44,0,0,0
40,Connecticut,Litchfield,6.2,Mar 27,52,0,0,0
41,Connecticut,Litchfield,4.1,Mar 28,65,0,0,0
42,Connecticut,Litchfield,0.3,Mar 29,87,0,0,0
43,Connecticut,Litchfield,2.0,Mar 30,113,1,0,0
44,Connecticut,Litchfield,3.0,Mar 31,121,1,0,0
45,Connecticut,Litchfield,4.4,Apr 1,131,1,0,0
46,Connecticut,Litchfield,2.3,Apr 2,141,2,0,0
47,Connecticut,Litchfield,0.5,Apr 3,173,4,0,0
48,Connecticut,Litchfield,1.7,Apr 4,182,5,0,0
49,Connecticut,Litchfield,5.1,Apr 5,197,6,0,0
50,Connecticut,Litchfield,3.2,Apr 6,230,8,0,0
51,Connecticut,Litchfield,4.0,Apr 7,255,9,0,0
52,Connecticut,Litchfield,4.4,Apr 8,255,9,0,0
53,Connecticut,Litchfield,4.2,Apr 9,315,13,0,0
54,Connecticut,New Haven,4.2,Mar 23,41,0,0,0
55,Connecticut,New Haven,3.35,Mar 24,89,0,0,0
56,Connecticut,New Haven,6.65,Mar 25,127,2,0,0
57,Connecticut,New Haven,7.35,Mar 26,156,2,0,0
58,Connecticut,New Haven,7.35,Mar 27,222,6,0,0
59,Connecticut,New Haven,5.35,Mar 28,236,6,0,0
60,Connecticut,New Haven,1.95,Mar 29,280,6,0,0
61,Connecticut,New Haven,3.15,Mar 30,373,6,0,0
62,Connecticut,New Haven,3.15,Mar 31,517,12,0,0
63,Connecticut,New Haven,5.0,Apr 1,611,15,0,0
64,Connecticut,New Haven,3.05,Apr 2,647,17,0,0
65,Connecticut,New Haven,1.0,Apr 3,891,18,0,0
66,Connecticut,New Haven,3.05,Apr 4,1024,29,0,0
67,Connecticut,New Haven,9.35,Apr 5,1162,36,0,0
68,Connecticut,New Haven,5.8,Apr 6,1468,41,0,0
69,Connecticut,New Haven,6.35,Apr 7,1664,60,0,0
70,Connecticut,New Haven,8.05,Apr 8,1664,60,0,0
71,Connecticut,New Haven,7.15,Apr 9,2183,78,0,0
72,Connecticut,New London,3.7,Mar 23,4,0,0,0
73,Connecticut,New London,1.6,Mar 24,6,0,0,0
74,Connecticut,New London,5.1,Mar 25,9,0,0,0
75,Connecticut,New London,6.7,Mar 26,13,0,0,0
76,Connecticut,New London,6.2,Mar 27,15,0,0,0
77,Connecticut,New London,5.3,Mar 28,19,0,0,0
78,Connecticut,New London,2.7,Mar 29,20,0,0,0
79,Connecticut,New London,2.1,Mar 30,24,0,0,0
80,Connecticut,New London,5.0,Mar 31,27,1,0,0
81,Connecticut,New London,5.0,Apr 1,29,1,0,0
82,Connecticut,New London,2.1,Apr 2,29,1,0,0
83,Connecticut,New London,0.5,Apr 3,40,3,0,0
84,Connecticut,New London,6.9,Apr 4,57,3,0,0
85,Connecticut,New London,7.6,Apr 5,57,4,0,0
86,Connecticut,New London,6.5,Apr 6,65,4,0,0
87,Connecticut,New London,4.4,Apr 7,85,4,0,0
88,Connecticut,New London,7.4,Apr 8,85,4,0,0
89,Connecticut,New London,6.4,Apr 9,139,6,0,0
90,Delaware,Kent,5.0,Mar 23,6,0,0,0
91,Delaware,Kent,7.7,Mar 24,10,0,0,0
92,Delaware,Kent,5.2,Mar 25,14,0,0,0
93,Delaware,Kent,8.8,Mar 26,17,0,0,0
94,Delaware,Kent,9.4,Mar 27,21,0,0,0
95,Delaware,Kent,8.2,Mar 28,25,2,0,0
96,Delaware,Kent,7.8,Mar 29,25,3,0,0
97,Delaware,Kent,7.7,Mar 30,27,3,0,0
98,Delaware,Kent,5.9,Mar 31,34,3,0,0
99,Delaware,Kent,6.5,Apr 1,41,3,0,0
100,Delaware,Kent,4.2,Apr 2,43,2,0,0
101,Delaware,Kent,3.0,Apr 3,54,2,0,0
102,Delaware,Kent,3.6,Apr 4,68,2,0,0
103,Delaware,Kent,6.4,Apr 5,86,2,0,0
104,Delaware,Kent,6.5,Apr 6,128,3,0,0
105,Delaware,Kent,13.4,Apr 7,147,4,0,0
106,Delaware,Kent,9.0,Apr 8,201,4,0,0
107,Delaware,Kent,8.0,Apr 9,214,4,0,0
108,Delaware,New Castle,4.23,Mar 23,44,0,0,0
109,Delaware,New Castle,5.5,Mar 24,71,0,0,0
110,Delaware,New Castle,5.2,Mar 25,79,0,0,0
111,Delaware,New Castle,9.03,Mar 26,86,0,0,0
112,Delaware,New Castle,8.3,Mar 27,105,0,0,0
113,Delaware,New Castle,8.47,Mar 28,130,2,0,0
114,Delaware,New Castle,9.5,Mar 29,141,2,0,0
115,Delaware,New Castle,8.3,Mar 30,156,2,0,0
116,Delaware,New Castle,3.83,Mar 31,197,2,0,0
117,Delaware,New Castle,5.53,Apr 1,226,5,0,0
118,Delaware,New Castle,4.17,Apr 2,245,7,0,0
119,Delaware,New Castle,2.87,Apr 3,279,7,0,0
120,Delaware,New Castle,3.37,Apr 4,400,7,0,0
121,Delaware,New Castle,7.47,Apr 5,436,7,0,0
122,Delaware,New Castle,5.47,Apr 6,496,9,0,0
123,Delaware,New Castle,9.7,Apr 7,571,9,0,0
124,Delaware,New Castle,7.6,Apr 8,636,9,0,0
125,Delaware,New Castle,7.87,Apr 9,701,9,0,0
126,Delaware,Sussex,4.6,Mar 23,18,0,0,0
127,Delaware,Sussex,8.2,Mar 24,23,0,0,0
128,Delaware,Sussex,5.2,Mar 25,26,0,0,0
129,Delaware,Sussex,8.7,Mar 26,27,1,0,0
130,Delaware,Sussex,10.4,Mar 27,37,1,0,0
