County,State,Avr_PM2.5,Avr_CO,Avr_NO2,Avr_Ozone,Avr_SO2,Population,Area,Poverty_all,Poverty_child,Large_airport,Medium_airport,Small_airport,Non_Hub_airport
Fairfield,Connecticut,5.7,,,0.04501,,916829,1621,10,12.7,,,,
Hartford,Connecticut,5.56,,,0.043,,894014,1906,11.2,15.5,,1,,
Litchfield,Connecticut,4.13,,,0.04451,,189927,2383,6.9,8.1,,,,
New Haven,Connecticut,6.09,,,0.04477,,862477,1570,11.6,16.7,,,,1
New London,Connecticut,5.6,,,0.04437,,274055,1725,9.8,12.5,,,,
Kent,Delaware,7.15,,,0.04406,,162310,2072,13.8,19.6,,,,
New Castle,Delaware,6.67,,,0.04065,,538479,1279,11.6,15.5,,,,1
Sussex,Delaware,7.1,,,0.04324,,197145,3098,12.3,21.6,,,,
Berkshire,Massachusetts,5.59,,,0.04345,,131219,2411,11.3,15.9,,,,
Bristol,Massachusetts,10.11,,,0.04446,,548285,1440,10.8,14.3,,,,
Essex,Massachusetts,3.85,,,0.04304,,743159,1290,10.7,13.3,,,,
Franklin,Massachusetts,6.94,,,0.04232,,71372,1818,10.6,14.5,,,,
Hampden,Massachusetts,6.06,,,0.04383,,463490,1601,16.7,25.8,,,,
Hampshire,Massachusetts,7.59,,,0.04552,,158080,1370,11.1,9.4,,,,
Middlesex,Massachusetts,6.04,,,0.04227,,1503085,2134,7.3,8,,,,
Norfolk,Massachusetts,4.29,,,0.03871,,670850,1036,6.5,5.9,,,,
Plymouth,Massachusetts,6.83,,,0.04421,,494919,1712,6.2,7.3,,,,
Suffolk,Massachusetts,4.82,,,0.03956,,722023,150,17.5,24.1,1,,,
Worcester,Massachusetts,6.92,,,0.04376,,798552,3919,9,10.8,,,,1
Baltimore,Maryland,5.3,0.3,19.64,0.0424,,817455,1766,9.9,13,1,,,
Cecil,Maryland,4.72,,,0.04289,,101696,1083,8.3,12.8,,,,
Dorchester,Maryland,4,,,0.04403,,32551,1399,15.4,27,,,,
Garrett,Maryland,4.05,0.14,2.32,0.04506,0.24,29854,1699,12.2,18.4,,,,
Harford,Maryland,4.17,,,0.04359,,248622,1365,7,9.7,,,,
