County,State,Avr_PM2.5,Avr_CO,Avr_NO2,Avr_Ozone,Avr_SO2,Population,Area,Pop_density,Poverty_all,Poverty_child,Large_airport,Medium_airport,Small_airport,Non_Hub_airport,Cases,Deaths,Case_per_thousand,Death_per_M,Mortality
Fairfield,Connecticut,5.7,,,0.04501,,916829,1621,565.59,10.0,12.7,0,0,0,0,10529,707,11.48,771.14,6.71
Hartford,Connecticut,5.56,,,0.043,,894014,1906,469.05,11.2,15.5,0,1,0,0,4989,579,5.58,647.64,11.61
Litchfield,Connecticut,4.13,,,0.04451,,189927,2383,79.7,6.9,8.1,0,0,0,0,864,74,4.55,389.62,8.56
New Haven,Connecticut,6.09,,,0.04477,,862477,1570,549.35,11.6,16.7,0,0,0,1,6715,429,7.79,497.4,6.39
New London,Connecticut,5.6,,,0.04437,,274055,1725,158.87,9.8,12.5,0,0,0,0,498,31,1.82,113.12,6.22
Kent,Delaware,7.15,,,0.04406,,162310,2072,78.33,13.8,19.6,0,0,0,0,625,22,3.85,135.54,3.52
New Castle,Delaware,6.67,,,0.04065,,538479,1279,421.02,11.6,15.5,0,0,0,1,1599,55,2.97,102.14,3.44
Sussex,Delaware,7.1,,,0.04324,,197145,3098,63.64,12.3,21.6,0,0,0,0,1801,43,9.14,218.11,2.39
Berkshire,Massachusetts,5.59,,,0.04345,,131219,2411,54.43,11.3,15.9,0,0,0,0,428,31,3.26,236.25,7.24
Bristol,Massachusetts,10.11,,,0.04446,,548285,1440,380.75,10.8,14.3,0,0,0,0,2923,130,5.33,237.1,4.45
Essex,Massachusetts,3.85,,,0.043039999999999995,,743159,1290,576.09,10.7,13.3,0,0,0,0,7489,336,10.08,452.12,4.49
Franklin,Massachusetts,6.94,,,0.042319999999999997,,71372,1818,39.26,10.6,14.5,0,0,0,0,226,32,3.17,448.36,14.16
Hampden,Massachusetts,6.06,,,0.04383,,463490,1601,289.5,16.7,25.8,0,0,0,0,3295,315,7.11,679.63,9.56
