"County","State","X","Date","City","State_Code.x","Station","Day","month","day","TAVG","TMAX","TMIN","TOBS","SNOW","PRCP","PM2.5","CO","NO2","Ozone","SO2","total_confirmed_cases","Deaths","Recovered","Active","State_Code.y","fips"
"Adams","Pennsylvania",21,"Apr 4","Fairfield","PA","US1PAAD0008",20200404,"Apr",4,0,0,0,0,0,1,3.5,NA,NA,0.0359999984502792,NA,21,0,0,0,"PA",42001
"Adams","Pennsylvania",22,"Apr 5","Fairfield","PA","US1PAAD0008",20200405,"Apr",5,0,0,0,0,0,0,8.60000038146973,NA,NA,0.0465000011026859,NA,22,0,0,0,"PA",42001
"Adams","Pennsylvania",24,"Apr 7","Fairfield","PA","US1PAAD0008",20200407,"Apr",7,0,0,0,0,0,0,7.90000009536743,NA,NA,0.0445000007748604,NA,28,0,0,0,"PA",42001
"Adams","Pennsylvania",25,"Apr 8","Fairfield","PA","US1PAAD0008",20200408,"Apr",8,0,0,0,0,0,65.6666666666667,5.19999980926514,NA,NA,0.0494999997317791,NA,33,0,0,0,"PA",42001
"Adams","Pennsylvania",26,"Apr 9","Fairfield","PA","US1PAAD0008",20200409,"Apr",9,0,0,0,0,0,43,4.69999980926514,NA,NA,0.0485000014305115,NA,38,1,0,0,"PA",42001
"Adams","Pennsylvania",23,"Apr 6","Fairfield","PA","US1PAAD0008",20200406,"Apr",6,0,0,0,0,0,0,6.09999990463257,NA,NA,0.0489999987185001,NA,25,0,0,0,"PA",42001
"Adams","Pennsylvania",31,"Mar 27","Fairfield","PA","US1PAAD0008",20200327,"Mar",27,0,0,0,0,0,2.66666666666667,7.30000019073486,NA,NA,0.0465000011026859,NA,8,0,0,0,"PA",42001
"Adams","Pennsylvania",32,"Mar 28","Fairfield","PA","US1PAAD0008",20200328,"Mar",28,0,0,0,0,0,105.666666666667,10.8999996185303,NA,NA,0.0370000004768372,NA,8,0,0,0,"PA",42001
"Adams","Pennsylvania",18,"Apr 25","Fairfield","PA","US1PAAD0008",20200425,"Apr",25,0,0,0,0,0,31.3333333333333,6,NA,NA,0.0465000011026859,NA,113,1,0,112,"PA",42001
"Adams","Pennsylvania",19,"Apr 26","Fairfield","PA","US1PAAD0031",20200426,"Apr",26,0,0,0,0,0,99.5,3.40000009536743,NA,NA,0.0384999997913837,NA,117,1,0,116,"PA",42001
"Adams","Pennsylvania",20,"Apr 3","Fairfield","PA","US1PAAD0008",20200403,"Apr",3,0,0,0,0,0,0,3.09999990463257,NA,NA,0.0439999997615814,NA,19,0,0,0,"PA",42001
"Adams","Pennsylvania",6,"Apr 14","Fairfield","PA","US1PAAD0008",20200414,"Apr",14,0,0,0,0,0,116.666666666667,6.80000019073486,NA,NA,0.0430000014603138,NA,63,1,0,62,"PA",42001
"Adams","Pennsylvania",7,"Apr 15","Fairfield","PA","US1PAAD0008",20200415,"Apr",15,0,0,0,0,0,20,8.10000038146973,NA,NA,0.0489999987185001,NA,64,1,0,63,"PA",42001
"Adams","Pennsylvania",8,"Apr 16","Fairfield","PA","US1PAAD0008",20200416,"Apr",16,0,0,0,0,0,0,9,NA,NA,0.046000000089407,NA,67,1,0,66,"PA",42001
"Adams","Pennsylvania",9,"Apr 17","Fairfield","PA","US1PAAD0008",20200417,"Apr",17,0,0,0,0,0,0,12.3999996185303,NA,NA,0.0445000007748604,NA,70,1,0,69,"PA",42001
"Adams","Pennsylvania",27,"Mar 23","Fairfield","PA","US1PAAD0008",20200323,"Mar",23,0,0,0,0,0,14.3333333333333,5.90000009536743,NA,NA,0.034000001847744,NA,6,0,0,0,"PA",42001
"Adams","Pennsylvania",28,"Mar 24","Fairfield","PA","US1PAAD0008",20200324,"Mar",24,0,0,0,0,0,38,7,NA,NA,0.0414999984204769,NA,6,0,0,0,"PA",42001
"Adams","Pennsylvania",29,"Mar 25","Fairfield","PA","US1PAAD0008",20200325,"Mar",25,0,0,0,0,0,12,11.1000003814697,NA,NA,0.0309999994933605,NA,6,0,0,0,"PA",42001
"Adams","Pennsylvania",30,"Mar 26","Fairfield","PA","US1PAAD0008",20200326,"Mar",26,0,0,0,0,0,84.6666666666667,9.10000038146973,NA,NA,0.0410000011324883,NA,7,0,0,0,"PA",42001
"Adams","Pennsylvania",1,"Apr 1","Fairfield","PA","US1PAAD0008",20200401,"Apr",1,0,0,0,0,0,25.3333333333333,7.69999980926514,NA,NA,0.0450000017881393,NA,12,0,0,0,"PA",42001
"Adams","Pennsylvania",2,"Apr 10","Fairfield","PA","US1PAAD0008",20200410,"Apr",10,0,0,0,0,0,14.3333333333333,4.09999990463257,NA,NA,0.0445000007748604,NA,43,1,0,0,"PA",42001
"Adams","Pennsylvania",3,"Apr 11","Fairfield","PA","US1PAAD0008",20200411,"Apr",11,0,0,0,0,0,0,6,NA,NA,0.050500001758337,NA,44,1,0,0,"PA",42001
"Adams","Pennsylvania",4,"Apr 12","Fairfield","PA","US1PAAD0008",20200412,"Apr",12,0,0,0,0,0,0,10.3000001907349,NA,NA,0.045499999076128,NA,48,1,0,47,"PA",42001
"Adams","Pennsylvania",5,"Apr 13","Fairfield","PA","US1PAAD0008",20200413,"Apr",13,0,0,0,0,0,251.666666666667,3,NA,NA,0.0450000017881393,NA,56,1,0,55,"PA",42001
"Adams","Pennsylvania",35,"Mar 31","Fairfield","PA","US1PAAD0008",20200331,"Mar",31,0,0,0,0,0,0,5.69999980926514,NA,NA,0.0324999988079071,NA,9,0,0,0,"PA",42001
"Adams","Pennsylvania",11,"Apr 19","Fairfield","PA","US1PAAD0008",20200419,"Apr",19,0,0,0,0,0,7.66666666666667,7,NA,NA,0.0480000004172325,NA,80,1,0,79,"PA",42001
