"County","State","Avr_PM2.5","Avr_CO","Avr_NO2","Avr_Ozone","Avr_SO2","Population","Area","Pop_density","Poverty_all","Poverty_child","Large_airport","Medium_airport","Small_airport","Non_Hub_airport","Cases","Deaths","Case_per_thousand","Death_per_M","Mortality","TAVG_avg","TMAX_avg","TMIN_avg","SNO_avg","PRCP_avg","State_Code","fips"
"Adams","Pennsylvania",7,NA,NA,0.04333,NA,101407,1352,75.01,8,11.2,0,0,0,0,117,2,1.15,19.72,1.71,NA,NA,NA,0,3.50714285714286,"PA",42001
"Albany","New York",5.73,NA,NA,0.04137,NA,304204,1380,220.44,11.3,15.3,0,0,1,0,948,32,3.12,105.19,3.38,NA,NA,2.5,8.91428571428571,2.90571428571429,"NY",36001
"Allegheny","Pennsylvania",8.18,NA,NA,0.04356,NA,1223348,1930,633.86,11.7,15,0,1,0,0,1211,74,0.99,60.49,6.11,NA,NA,NA,0,NA,"PA",42003
"Androscoggin","Maine",3.68,NA,NA,0.04282,NA,107233,1287,83.32,12.3,17.3,0,0,0,0,42,2,0.39,18.65,4.76,NA,NA,NA,0,NA,"ME",23001
"Aroostook","Maine",4.22,NA,NA,0.04356,NA,68628,17687,3.88,15.3,19.1,0,0,0,1,4,0,0.06,0,0,NA,NA,NA,0,NA,"ME",23003
"Atlantic","New Jersey",5.23,NA,NA,0.03996,NA,265429,1453,182.68,12.8,19.1,0,0,1,0,638,30,2.4,113.02,4.7,NA,NA,NA,0,NA,"NJ",34001
"Baltimore","Maryland",5.3,0.3,19.64,0.0424,NA,817455,1766,462.89,9.9,13,1,0,0,0,2509,81,3.07,99.09,3.23,NA,NA,6.26666666666667,0,4.46142857142857,"MD",24005
"Beaver","Pennsylvania",7.56,NA,NA,0.04339,NA,170539,1150,148.29,11.2,16.3,0,0,0,0,366,47,2.15,275.6,12.84,NA,NA,NA,0,NA,"PA",42007
"Bennington","Vermont",4.19,NA,NA,0.04403,NA,36317,1751,20.74,11.4,16.5,0,0,0,0,40,1,1.1,27.54,2.5,NA,NA,NA,0,2.70285714285714,"VT",50003
"Bergen","New Jersey",5.5,NA,NA,0.03941,NA,936692,606,1545.7,6.8,8.2,0,0,0,0,14965,955,15.98,1019.55,6.38,NA,NA,NA,0,NA,"NJ",34003
"Berkshire","Massachusetts",5.59,NA,NA,0.04345,NA,131219,2411,54.43,11.3,15.9,0,0,0,0,428,31,3.26,236.25,7.24,NA,NA,NA,0,NA,"MA",25003
"Blair","Pennsylvania",6.19,NA,NA,0.04382,NA,127089,1365,93.11,14.4,19.4,0,0,0,0,21,0,0.17,0,0,NA,NA,NA,0,NA,"PA",42013
"Bradford","Pennsylvania",5.3,NA,NA,0.04265,NA,62622,3007,20.83,12.5,17.1,0,0,0,0,31,5,0.5,79.84,16.13,NA,NA,NA,0,NA,"PA",42015
"Bristol","Massachusetts",10.11,NA,NA,0.04446,NA,548285,1440,380.75,10.8,14.3,0,0,0,0,2923,130,5.33,237.1,4.45,NA,NA,NA,0,NA,"MA",25005
"Cambria","Pennsylvania",6.8,NA,NA,0.0374,NA,143679,1795,80.04,14.7,22.6,0,0,0,0,21,2,0.15,13.92,9.52,NA,NA,NA,0,NA,"PA",42021
"Camden","New Jersey",6.1,NA,NA,0.04064,NA,507078,575,881.87,12.9,18.4,0,0,0,0,2983,121,5.88,238.62,4.06,NA,NA,NA,0,NA,"NJ",34007
"Cecil","Maryland",4.72,NA,NA,0.04289,NA,101696,1083,93.9,8.3,12.8,0,0,0,0,154,5,1.51,49.17,3.25,NA,NA,NA,0,NA,"MD",24015
"Centre","Pennsylvania",5.47,NA,NA,0.04139,NA,153990,2880,53.47,18.1,10.6,0,0,0,1,81,2,0.53,12.99,2.47,NA,NA,NA,0,NA,"PA",42027
"Cheshire","New Hampshire",3.87,NA,NA,0.04169,NA,75909,1834,41.39,10.2,12.9,0,0,0,0,36,0,0.47,0,0,NA,NA,NA,0,NA,"NH",33005
"Chester","Pennsylvania",7.85,NA,NA,0.04155,NA,498886,1968,253.5,6.7,7.8,0,0,0,0,1177,82,2.36,164.37,6.97,NA,NA,NA,0,NA,"PA",42029
"Chittenden","Vermont",4.74,NA,NA,0.04545,NA,161382,1396,115.6,10.4,8,0,0,1,0,410,30,2.54,185.89,7.32,5.23823529411765,NA,-0.476470588235294,0,NA,"VT",50007
"Cumberland","Maine",7.78,0.2,14.54,0.04336,0.19,289977,3152,92,8.2,8,0,0,1,0,454,24,1.57,82.77,5.29,NA,NA,NA,0,NA,"ME",23005
"Cumberland","New Jersey",6.42,NA,NA,0.04347,NA,150972,1267,119.16,15.2,21.8,0,0,0,0,520,6,3.44,39.74,1.15,NA,NA,NA,0,NA,"NJ",34011
"Cumberland","Pennsylvania",7.42,NA,NA,NA,NA,235406,1427,164.97,7.3,9.2,0,0,0,0,267,8,1.13,33.98,3,NA,NA,NA,0,NA,"PA",42041
"Delaware","Pennsylvania",8.82,NA,NA,0.04086,NA,558979,495,1129.25,8.8,11.3,0,0,0,0,3281,141,5.87,252.25,4.3,NA,NA,NA,0,4.05385714285714,"PA",42045
"Dorchester","Maryland",4,NA,NA,0.04403,NA,32551,1399,23.27,15.4,27,0,0,0,0,46,2,1.41,61.44,4.35,NA,NA,NA,0,NA,"MD",24019
"Erie","New York",4.28,NA,NA,0.04162,NA,919040,3178,289.19,13.7,19.2,0,1,0,0,2954,207,3.21,225.24,7.01,NA,NA,NA,2.77142857142857,NA,"NY",36029
"Erie","Pennsylvania",6.63,NA,NA,0.03646,NA,280556,2069,135.6,15.3,21.4,0,0,0,1,79,0,0.28,0,0,NA,NA,2.940625,2.14285714285714,NA,"PA",42049
"Essex","Massachusetts",3.85,NA,NA,0.04304,NA,743159,1290,576.09,10.7,13.3,0,0,0,0,7489,336,10.08,452.12,4.49,NA,NA,NA,0,NA,"MA",25009
