"","County","State","Date","City","State_Code","Station","Day","month","day","TAVG","TMAX","TMIN","TOBS","SNOW","PRCP","PM2.5","CO","NO2","Ozone","SO2","total_confirmed_cases","Deaths","Recovered","Active"
"1","Adams","Pennsylvania","Apr 1","Fairfield","PA","US1PAAD0008",20200401,"Apr",1,0,0,0,0,0,25.3333333333333,7.69999980926514,NA,NA,0.0450000017881393,NA,12,0,0,0
"2","Adams","Pennsylvania","Apr 10","Fairfield","PA","US1PAAD0008",20200410,"Apr",10,0,0,0,0,0,14.3333333333333,4.09999990463257,NA,NA,0.0445000007748604,NA,43,1,0,0
"3","Adams","Pennsylvania","Apr 11","Fairfield","PA","US1PAAD0008",20200411,"Apr",11,0,0,0,0,0,0,6,NA,NA,0.050500001758337,NA,44,1,0,0
"4","Adams","Pennsylvania","Apr 12","Fairfield","PA","US1PAAD0008",20200412,"Apr",12,0,0,0,0,0,0,10.3000001907349,NA,NA,0.045499999076128,NA,48,1,0,47
"5","Adams","Pennsylvania","Apr 13","Fairfield","PA","US1PAAD0008",20200413,"Apr",13,0,0,0,0,0,251.666666666667,3,NA,NA,0.0450000017881393,NA,56,1,0,55
"6","Adams","Pennsylvania","Apr 14","Fairfield","PA","US1PAAD0008",20200414,"Apr",14,0,0,0,0,0,116.666666666667,6.80000019073486,NA,NA,0.0430000014603138,NA,63,1,0,62
"7","Adams","Pennsylvania","Apr 15","Fairfield","PA","US1PAAD0008",20200415,"Apr",15,0,0,0,0,0,20,8.10000038146973,NA,NA,0.0489999987185001,NA,64,1,0,63
"8","Adams","Pennsylvania","Apr 16","Fairfield","PA","US1PAAD0008",20200416,"Apr",16,0,0,0,0,0,0,9,NA,NA,0.046000000089407,NA,67,1,0,66
"9","Adams","Pennsylvania","Apr 17","Fairfield","PA","US1PAAD0008",20200417,"Apr",17,0,0,0,0,0,0,12.3999996185303,NA,NA,0.0445000007748604,NA,70,1,0,69
"10","Adams","Pennsylvania","Apr 18","Fairfield","PA","US1PAAD0008",20200418,"Apr",18,0,0,0,0,0,54.3333333333333,8.69999980926514,NA,NA,0.0485000014305115,NA,74,1,0,73
"11","Adams","Pennsylvania","Apr 19","Fairfield","PA","US1PAAD0008",20200419,"Apr",19,0,0,0,0,0,7.66666666666667,7,NA,NA,0.0480000004172325,NA,80,1,0,79
"12","Adams","Pennsylvania","Apr 2","Fairfield","PA","US1PAAD0008",20200402,"Apr",2,0,0,0,0,0,1,4.19999980926514,NA,NA,0.0480000004172325,NA,18,0,0,0
"13","Adams","Pennsylvania","Apr 20","Fairfield","PA","US1PAAD0008",20200420,"Apr",20,0,0,0,0,0,0,7.69999980926514,NA,NA,0.0450000017881393,NA,85,1,0,84
"14","Adams","Pennsylvania","Apr 21","Fairfield","PA","US1PAAD0008",20200421,"Apr",21,0,0,0,0,0,0,7,NA,NA,0.0469999983906746,NA,91,2,0,89
"15","Adams","Pennsylvania","Apr 22","Fairfield","PA","US1PAAD0008",20200422,"Apr",22,0,0,0,0,0,16.3333333333333,5.09999990463257,NA,NA,0.0489999987185001,NA,92,2,0,90
"16","Adams","Pennsylvania","Apr 23","Fairfield","PA","US1PAAD0008",20200423,"Apr",23,0,0,0,0,0,0,10.5,NA,NA,0.0399999991059303,NA,95,2,0,93
"17","Adams","Pennsylvania","Apr 24","Fairfield","PA","US1PAAD0008",20200424,"Apr",24,0,0,0,0,0,142.333333333333,5.30000019073486,NA,NA,0.0370000004768372,NA,110,2,0,108
"18","Adams","Pennsylvania","Apr 25","Fairfield","PA","US1PAAD0008",20200425,"Apr",25,0,0,0,0,0,31.3333333333333,6,NA,NA,0.0465000011026859,NA,113,1,0,112
"19","Adams","Pennsylvania","Apr 26","Fairfield","PA","US1PAAD0031",20200426,"Apr",26,0,0,0,0,0,99.5,3.40000009536743,NA,NA,0.0384999997913837,NA,117,1,0,116
"20","Adams","Pennsylvania","Apr 3","Fairfield","PA","US1PAAD0008",20200403,"Apr",3,0,0,0,0,0,0,3.09999990463257,NA,NA,0.0439999997615814,NA,19,0,0,0
"21","Adams","Pennsylvania","Apr 4","Fairfield","PA","US1PAAD0008",20200404,"Apr",4,0,0,0,0,0,1,3.5,NA,NA,0.0359999984502792,NA,21,0,0,0
"22","Adams","Pennsylvania","Apr 5","Fairfield","PA","US1PAAD0008",20200405,"Apr",5,0,0,0,0,0,0,8.60000038146973,NA,NA,0.0465000011026859,NA,22,0,0,0
"23","Adams","Pennsylvania","Apr 6","Fairfield","PA","US1PAAD0008",20200406,"Apr",6,0,0,0,0,0,0,6.09999990463257,NA,NA,0.0489999987185001,NA,25,0,0,0
