"fips,County,State_Code",State
"9001,Fairfield,CT",Connecticut
"9003,Hartford,CT",Connecticut
"9005,Litchfield,CT",Connecticut
"9007,Middlesex,CT",Connecticut
"9009,New Haven,CT",Connecticut
"9011,New London,CT",Connecticut
"9013,Tolland,CT",Connecticut
"9015,Windham,CT",Connecticut
"24003,Anne Arundel,MD",Maryland
"24005,Baltimore,MD",Maryland
"24009,Calvert,MD",Maryland
"24011,Caroline,MD",Maryland
"24013,Carroll,MD",Maryland
"24015,Cecil,MD",Maryland
"24017,Charles,MD",Maryland
"24019,Dorchester,MD",Maryland
"24021,Frederick,MD",Maryland
"24023,Garrett,MD",Maryland
"24025,Harford,MD",Maryland
"24027,Howard,MD",Maryland
"24029,Kent,MD",Maryland
"24031,Montgomery,MD",Maryland
"24033,Prince George's,MD",Maryland
"24035,Queen Annes,MD",Maryland
"24037,St Marys,MD",Maryland
"24039,Somerset,MD",Maryland
"24041,Talbot,MD",Maryland
"24043,Washington,MD",Maryland
"24045,Wicomico,MD",Maryland
"24047,Worcester,MD",Maryland
"24510,Baltimore City,MD",Maryland
"25001,Barnstable,MA",Massachusetts
"25003,Berkshire,MA",Massachusetts
"25005,Bristol,MA",Massachusetts
"25007,Dukes,MA",Massachusetts
"25009,Essex,MA",Massachusetts
"25011,Franklin,MA",Massachusetts
"25013,Hampden,MA",Massachusetts
"25015,Hampshire,MA",Massachusetts
"25017,Middlesex,MA",Massachusetts
"25019,Nantucket,MA",Massachusetts
"25021,Norfolk,MA",Massachusetts
"25023,Plymouth,MA",Massachusetts
"25025,Suffolk,MA",Massachusetts
"25027,Worcester,MA",Massachusetts
"33001,Belknap,NH",New Hampshire
"33003,Carroll,NH",New Hampshire
"33005,Cheshire,NH",New Hampshire
"33007,Coos,NH",New Hampshire
"33009,Grafton,NH",New Hampshire
"33011,Hillsborough,NH",New Hampshire
"33013,Merrimack,NH",New Hampshire
"33015,Rockingham,NH",New Hampshire
"33017,Strafford,NH",New Hampshire
"33019,Sullivan,NH",New Hampshire
"34001,Atlantic,NJ",New Jersey
"34003,Bergen,NJ",New Jersey
"34005,Burlington,NJ",New Jersey
"34007,Camden,NJ",New Jersey
"34009,Cape May,NJ",New Jersey
"34011,Cumberland,NJ",New Jersey
"34013,Essex,NJ",New Jersey
"34015,Gloucester,NJ",New Jersey
"34017,Hudson,NJ",New Jersey
"34019,Hunterdon,NJ",New Jersey
"34021,Mercer,NJ",New Jersey
"34023,Middlesex,NJ",New Jersey
"34025,Monmouth,NJ",New Jersey
"34027,Morris,NJ",New Jersey
"34029,Ocean,NJ",New Jersey
"34031,Passaic,NJ",New Jersey
"34033,Salem,NJ",New Jersey
"34035,Somerset,NJ",New Jersey
"34037,Sussex,NJ",New Jersey
"34039,Union,NJ",New Jersey
"34041,Warren,NJ",New Jersey
"36001,Albany,NY",New York
"36003,Allegany,NY",New York
